Row,Column,Goal Row,Goal Column,Vertical Distance to Goal,Horizontal Distance to Goal,Direction,Sector Cost,Cost To Goal
4,3,2,5,2,2,1,18,10.0
3,3,2,5,1,2,1,14,7.0
2,3,2,5,0,2,1,14,5.0
2,3,2,5,0,2,4,14,4.0
2,4,2,5,0,1,4,0,1.0
2,5,2,5,0,0,4,0,0
0,5,3,5,3,0,1,16,14.0
0,5,3,5,3,0,2,16,13.0
0,5,3,5,3,0,3,16,12.0
1,5,3,5,2,0,3,16,9.0
2,5,3,5,1,0,3,0,1.0
3,5,3,5,0,0,3,0,0
2,2,2,0,0,2,1,13,3.0
2,2,2,0,0,2,2,13,2.0
2,1,2,0,0,1,2,0,1.0
2,0,2,0,0,0,2,0,0
5,1,2,4,3,3,1,15,18.0
5,1,2,4,3,3,4,15,17.0
5,2,2,4,3,2,4,15,14.0
5,3,2,4,3,1,4,20,13.0
5,3,2,4,3,1,1,20,12.0
4,3,2,4,2,1,1,20,9.0
3,3,2,4,1,1,1,0,4.0
2,3,2,4,0,1,1,0,2.0
2,3,2,4,0,1,4,0,1.0
2,4,2,4,0,0,4,0,0
4,2,2,2,2,0,1,21,4.0
3,2,2,2,1,0,1,0,1.0
2,2,2,2,0,0,1,0,0
0,2,3,5,3,3,1,13,19.0
0,2,3,5,3,3,4,13,18.0
0,3,3,5,3,2,4,13,13.0
0,4,3,5,3,1,4,4,9.0
0,5,3,5,3,0,4,4,7.0
0,5,3,5,3,0,3,4,6.0
1,5,3,5,2,0,3,4,3.0
2,5,3,5,1,0,3,0,1.0
3,5,3,5,0,0,3,0,0
1,2,2,0,1,2,1,14,10.0
1,2,2,0,1,2,2,14,9.0
1,1,2,0,1,1,2,0,6.0
1,0,2,0,1,0,2,0,3.0
1,0,2,0,1,0,3,0,1.0
2,0,2,0,0,0,3,0,0
0,4,0,3,0,1,1,0,2.0
0,4,0,3,0,1,2,0,1.0
0,3,0,3,0,0,2,0,0
3,4,0,5,3,1,1,8,14.0
3,4,0,5,3,1,4,8,13.0
3,5,0,5,3,0,4,8,8.0
3,5,0,5,3,0,1,8,5.0
2,5,0,5,2,0,1,8,2.0
1,5,0,5,1,0,1,0,1.0
0,5,0,5,0,0,1,0,0
2,3,3,0,1,3,1,21,15.0
2,3,3,0,1,3,2,21,14.0
2,2,3,0,1,2,2,21,9.0
2,1,3,0,1,1,2,0,6.0
2,0,3,0,1,0,2,0,3.0
2,0,3,0,1,0,3,0,1.0
3,0,3,0,0,0,3,0,0
1,0,3,3,2,3,1,15,17.0
1,0,3,3,2,3,2,15,16.0
1,0,3,3,2,3,3,15,15.0
2,0,3,3,1,3,3,9,12.0
3,0,3,3,0,3,3,9,9.0
3,0,3,3,0,3,4,9,7.0
3,1,3,3,0,2,4,9,4.0
3,2,3,3,0,1,4,0,1.0
3,3,3,3,0,0,4,0,0
3,1,0,1,3,0,1,13,4.0
